englishname,hebrewname,morphology,definition,transliteration,dictionary
Keturah,קְטוּרָה,pr. n. f.,"[{'definition': 'Keturah = ""incense""'}, {'definition': ""wife of Abraham after Sarah's death""}]",ket-oo-raw',BDB Augmented Strong
Keren-happuch,קֶרֶן הַפּוּךְ,pr. n. f.,"[{'definition': 'Keren-happuch = ""horn of antimony""'}, {'definition': 'one of the daughters of Job born after his trial'}]",keh'-ren hap-pook',BDB Augmented Strong
Reumah,רְאוּמָה,pr. n. f.,"[{'definition': 'Reumah = ""elevated""'}, {'definition': 'the concubine of Nahor,  the brother of Abraham'}]",reh-oo-maw',BDB Augmented Strong
Rebekah,רִבְקָה,pr. n. f.,"[{'definition': 'Rebekah = ""ensnarer""'}, {'definition': 'daughter of Bethuel,  sister of Laban,  wife of Isaac, and mother of Esau and Jacob'}]",rib-kaw',BDB Augmented Strong
Ruth,רוּת,pr. n. f.,"[{'definition': 'Ruth = ""friendship""'}, {'definition': 'daughter-in-law of Naomi,  wife of Boaz,  and grandmother of David'}]",rooth,BDB Augmented Strong
Rahab,רָחָב,pr. n. f.,"[{'definition': 'Rahab = ""wide""'}, {'definition': 'a harlot of Jericho who aided the spies to escape; saved from the destruction of Jericho'}]",raw-khawb',BDB Augmented Strong
Rachel,רָחֵל,pr. n. f.,"[{'definition': 'Rachel = ""ewe""'}, {'definition': 'daughter of Laban,  wife of Jacob,  and mother of Joseph and Benjamin'}]",raw-khale',BDB Augmented Strong
Rizpah,רִצְפָּה,pr. n. f.,"[{'definition': 'Rizpah = ""pavement""'}, {'definition': 'a concubine of king Saul and mother of Armoni and Mephibosheth'}]",rits-paw',BDB Augmented Strong
Rithmah,רִתְמָה,pr. n. f.,"[{'definition': 'Rithmah = ""heath""'}, {'definition': 'station of Israel in the wilderness,  probably northeast of Hazeroth'}]",rith-maw',BDB Augmented Strong
Sherah,שֶׁאֱרָה,pr. n. f.,"[{'definition': 'Sherah = ""kinswoman""'}, {'definition': 'daughter of Ephraim and foundress of the Beth-horons and of a town called after her Uzzen-sherah'}]",sheh-er-aw',BDB Augmented Strong
Shua,שׁוּעָא,pr. n. f.,"[{'definition': 'Shua = ""wealth""'}, {'definition': 'an Asheritess,  daughter of Heber and sister to Japhlet,  Shomer, and Hotham'}]",shoo-aw',BDB Augmented Strong
Shihor,שִׁיחוֹר,pr. n. f.,"[{'definition': 'Shihor or Sihor = ""dark""'}, {'definition': 'a river or canal on east border of Egypt and a branch of the Nile'}]",shee-khore',BDB Augmented Strong
Shalisha,שָׁלִשָׁה,pr. n. f.,"[{'definition': 'Shalisha = ""thirs""'}, {'definition': 'a district near Mount Ephraim through which Saul passed as he searched for the asses'}]",shaw-lee-shaw',BDB Augmented Strong
Shimeath,שִׁמְעַת,pr. n. f.,"[{'definition': 'Shimeath = ""report""'}, {'definition': 'an Ammonitess,  mother of Jozachar or Zabad,  one of the assassins of king Joash of Judah'}]",shim-awth',BDB Augmented Strong
Shimrith,שִׁמְרִית,pr. n. f.,"[{'definition': 'Shimrith = ""vigilant""'}, {'definition': 'a Moabitess,  mother of Jehozabad,  one of the assassins of king Joash of Judah'}]",shim-reeth',BDB Augmented Strong
Shiphrah,שִׁפְרָה,pr. n. f.,"[{'definition': 'Shiphrah = ""fair""'}, {'definition': 'one of the two Hebrew midwives who were ordered by Pharaoh to kill all the male children born to the Hebrews but who disobeyed'}]",shif-raw',BDB Augmented Strong
Sarah,שָׂרָה,pr. n. f.,"[{'definition': 'Sarah = ""noblewoman""'}, {'definition': 'wife of Abraham and mother of Isaac'}]",saw-raw',BDB Augmented Strong
Serah,שֶׂרַח,pr. n. f.,"[{'definition': 'Serah = ""the prince breathed""'}, {'definition': 'daughter of Asher', 'senses': [{'definition': ""also 'Sarah'""}]}]",seh'-rakh,BDB Augmented Strong
Sarai,שָׂרַי,pr. n. f.,"[{'definition': 'Sarai = ""princess""'}, {'definition': 'original name of Sarah the wife of Abram or Abraham'}]",saw-rah'-ee,BDB Augmented Strong
Tahpenes,תַּחְפְּנֵיס,pr. n. f.,"[{'definition': 'Tahpenes = ""wife of the king""'}, {'definition': 'an Egyptian queen in the times of David and Solomon'}]",takh-pen-ace',BDB Augmented Strong
Timna,תִּמְנָע,pr. n. f.,"[{'definition': 'Timna or Timnah = ""restrained""'}, {'definition': 'n pr m'}, {'definition': 'a chief or duke of Esau and of Edom'}, {'definition': 'n pr f'}, {'definition': 'the concubine of Eliphaz,  the son of Esau'}, {'definition': 'daughter of Seir the Horite and sister of Lotan'}]",tim-naw',BDB Augmented Strong
Tirzah,תִּרְצָה,pr. n. f.,"[{'definition': 'Tirzah = ""favourable""'}, {'definition': 'n pr f'}, {'definition': 'one of the 7 daughters of Zelophehad the son of Hepher of the tribe of Manasseh'}, {'definition': 'n pr loc'}, {'definition': 'one of the kingdoms on the west of the Jordan conquered by Joshua and the Israelites'}, {'definition': 'a Canaanite city,  later capital of the northern kingdom of Israel'}]",teer-tsaw',BDB Augmented Strong
Igrath,*אִגְּרַת,pr. n. f.,"[{'definition': '<i>Igrath</i>, name of the queen of demons <a class=""refLink"" href=""/Pesachim.111a.12"" data-ref=""Pesachim 111a:12"">Pes. 111ᵃ</a> <span dir=""rtl"">א׳ אזלת</span> (an incantation). <a class=""refLink"" href=""/Pesachim.112a"" data-ref=""Pesachim 112a"">Ib. 112ᵃ</a>. <a class=""refLink"" href=""/Bamidbar_Rabbah.12.3"" data-ref=""Bamidbar Rabbah 12:3"">Num. R. s. 12</a>. Cmp. <a dir=""rtl"" class=""refLink"" href=""/Jastrow,_נְגִידָא III.1"" data-ref=""Jastrow, נְגִידָא III 1"">נְגִירָא</a>.'}]",,Jastrow Dictionary
Ushparti,*אוּשְׁפַּרְתִּי,pr. n. f.,"[{'definition': ' (?) <i>Ushparti</i>. <a class=""refLink"" href=""/Taanit.24b"" data-ref=""Taanit 24b"">Taan. 24ᵇ</a> Ms. (ed. <span dir=""rtl"">אושפז׳</span>, v. Rabb. D. S. a. l. note, a. Var. lect. ibid.).'}]",,Jastrow Dictionary
Ikhu,אִיכּוּ,pr. n. f.,"[{'definition': ' (= (= <span dir=""rtl"">אי כה</span>) <i>if now; oh that</i>. <a class=""refLink"" href=""/Beitzah.4b.1"" data-ref=""Beitzah 4b:1"">Bets. 4ᵇ</a> top <span dir=""rtl"">א׳ השתא אשתלאי</span> if I (had given my decision forthwith) I should have made a mistake. <a class=""refLink"" href=""/Yevamot.46a.13"" data-ref=""Yevamot 46a:13"">Yeb. 46ᵃ</a>.—<a class=""refLink"" href=""/Sanhedrin.107a.6"" data-ref=""Sanhedrin 107a:6"">Snh. 107ᵃ</a> <span dir=""rtl"">א׳ זממא וכ׳</span> oh that a muzzle had been put on my enemy’s (euphem. for <i>my</i>) mouth! i.e. oh that I never had said this!', 'number': '1)'}, {'definition': ' pr. n. f. <i>Ikhu</i>. Taan. 35ᵃ what is thy name? She said, Ikhu.—Said he <span dir=""rtl"">א׳ נמטו כשוריך</span> oh that thy joists were sufficiently long!', 'number': '—2)'}]",,Jastrow Dictionary
Imma,אִימָּא III,pr. n. f.,"[{'definition': ' [or <i>title;</i> cmp. <a dir=""rtl"" class=""refLink"" href=""/Jastrow,_אַבָּא I.1"" data-ref=""Jastrow, אַבָּא I 1"">אַבָּא</a>]. <i>Imma</i>. Y. Git. I, 43ᶜ; <a class=""refLink"" href=""/Mishnah_Sheviit.6"" data-ref=""Mishnah Sheviit 6"">Shebi. VI, 36</a>ᶜ top <span dir=""rtl"">א׳ שלום</span> Imma (Mother) Shalom.'}]",,Jastrow Dictionary
Immarta,אִימַּרְתָּא,pr. n. f.,"[{'definition': '<i>ewe</i>, v. <a dir=""rtl"" class=""refLink"" href=""/Jastrow,_אִימַּר.1"" data-ref=""Jastrow, אִימַּר 1"">אִימַּר</a>.', 'number': '1)'}, {'definition': ' pr. n. f. <i>Immarta</i>. <a class=""refLink"" href=""/Sanhedrin.52b.2"" data-ref=""Sanhedrin 52b:2"">Snh. 52ᵇ</a> Im. daughter of Tali (prob. pseudonyms).', 'number': '—2)'}]",,Jastrow Dictionary
Istahar,אִיסְטַהַר,pr. n. f.,"[{'definition': ' (r. <a dir=""rtl"" class=""refLink"" href=""/Jastrow,_סַהַר.1"" data-ref=""Jastrow, סַהַר 1"">סהר</a> = <span dir=""rtl"">זהר</span>) <i>Istahar</i> (beauty). <a class=""refLink"" href=""/Yalkut_Shimoni_on_Torah.44.1"" data-ref=""Yalkut Shimoni on Torah 44:1"">Yalk. Gen. 44</a> (a legendary personage).'}]",,Jastrow Dictionary
Ifra,אִיפְרָא,pr. n. f.,"[{'definition': '<i>Ifra</i>. <a class=""refLink"" href=""/Zevachim.116b"" data-ref=""Zevachim 116b"">Zeb. 116ᵇ I</a>. Ormuzd, mother of king Shapur; <a class=""refLink"" href=""/Bava_Batra.8a.18"" data-ref=""Bava Batra 8a:18"">B. Bath. 8ᵃ</a> bot; <a class=""refLink"" href=""/Taanit.24b.7"" data-ref=""Taanit 24b:7"">Taan. 24ᵇ</a>; <a class=""refLink"" href=""/Niddah.20b.23"" data-ref=""Niddah 20b:23"">Nidd. 20ᵇ</a> <a dir=""rtl"" class=""refLink"" href=""/Jastrow,_אִיפַּרְכִי.1"" data-ref=""Jastrow, אִיפַּרְכִי 1"">אפ׳</a>.'}]",,Jastrow Dictionary
Amathlai,אֲמַתְלַאי,pr. n. f.,"[{'definition': '<i>Amathlai</i>, legendary name of Abraham’s mother <span dir=""rtl"">(א׳ בת כרנבו</span>), and of Haman’s mother <span dir=""rtl"">(א׳ בת עורביתא</span>). <a class=""refLink"" href=""/Bava_Batra.91a.14"" data-ref=""Bava Batra 91a:14"">B. Bath. 91ᵃ</a>'}]",,Jastrow Dictionary
Esther,אֶסְתֵּר,pr. n. f.,"[{'definition': ' (b. h.) pr. n. f. <i>Esther</i>, wife of king Ahasverus. <a class=""refLink"" href=""/Shemot_Rabbah.15.6"" data-ref=""Shemot Rabbah 15:6"">Ex. R. s. 15</a> <span dir=""rtl"">ובאה א׳ והאירה</span> and Esther (<i>bright star</i>, v. <a dir=""rtl"" class=""refLink"" href=""/Jastrow,_אִסְתְּהַר.1"" data-ref=""Jastrow, אִסְתְּהַר 1"">אִסְתְּהַר</a>) came and brought light. <a class=""refLink"" href=""/Megillah.13a.23"" data-ref=""Megillah 13a:23"">Meg. 13ᵃ</a>; a. fr.—<span dir=""rtl"">מגילת א׳</span>, or only <a dir=""rtl"" class=""refLink"" href=""/Jastrow,_א׳.1"" data-ref=""Jastrow, א׳ 1"">א׳</a>, <i>the Book of Esther</i>. <a class=""refLink"" href=""/Sanhedrin.100a.4"" data-ref=""Sanhedrin 100a:4"">Snh. 100ᵃ</a>. <a class=""refLink"" href=""/Megillah.7a.13"" data-ref=""Megillah 7a:13"">Meg. 7ᵃ</a>, a. e. (controversy as to its canonic character).'}]",,Jastrow Dictionary
,אַרְנֶבֶת,pr. n. f.,"[{'definition': ' (b. h.) <i>hare;</i> [pr. n. f., v. next w.]. <a class=""refLink"" href=""/Megillah.9b.3"" data-ref=""Megillah 9b:3"">Meg. 9ᵇ</a>. <a class=""refLink"" href=""/Leviticus.13"" data-ref=""Leviticus 13"">Lev. s. 13</a> הא׳ זו יון <i>Arnebeth</i> (<a class=""refLink"" href=""/Leviticus.11.6"" data-ref=""Leviticus 11:6"">Lev. XI, 6</a>) is an allusion to Yavan (Greece); cmp. next w.—Pl. <span dir=""rtl"">אַרְנָבִים</span>. <a class=""refLink"" href=""/Shabbat.27a.7"" data-ref=""Shabbat 27a:7"">Sabb. 27ᵃ</a>; <a class=""refLink"" href=""/Menachot.39b.15"" data-ref=""Menachot 39b:15"">Men. 39ᵇ</a>. [Assyr. Annabu, Schr. KAT p. 498.]'}]",,Jastrow Dictionary
B’luria,בְּלוּרְיָא,pr. n. f.,"[{'definition': '<i>B’luria</i> (Valeria). <a class=""refLink"" href=""/Rosh_Hashanah.17b.17"" data-ref=""Rosh Hashanah 17b:17"">R. Hash. 17ᵇ</a>, a proselyte. Cmp. <a dir=""rtl"" class=""refLink"" href=""/Jastrow,_בְּרוּרְיָא.1"" data-ref=""Jastrow, בְּרוּרְיָא 1"">בְּרוּרְיָא</a>.'}]",,Jastrow Dictionary
B’ruryah,בְּרוּרְיָא,pr. n. f.,"[{'definition': '<i>B’ruryah</i>, daughter of R. Ḥanania b. T’radjon and wife of R. Meïr, reputed as a learned woman. <a class=""refLink"" href=""/Avodah_Zarah.18a.14"" data-ref=""Avodah Zarah 18a:14"">Ab. Zar. 18ᵃ</a>. <a class=""refLink"" href=""/Avodah_Zarah.18b"" data-ref=""Avodah Zarah 18b"">Ib. 18ᵇ</a> משום מעשה ב׳ Ms. M. (ed. <span dir=""rtl"">ממ׳ דב׳</span>) (R. Meïr left for Babylon) in consequence of what occurred to B. (who defied her husband’s opinion regarding woman’s weakness and came very near being ensnared by a plot laid against her chastity; v. Rashi a. l.). <a class=""refLink"" href=""/Tosefta_Keilim_Metsia.1.6"" data-ref=""Tosefta Keilim Metsia 1:6"">Tosef. Kel. B. Mets. I, 6</a>.'}]",,Jastrow Dictionary
Bithiah,בִּתְיָה,pr. n. f.,"[{'definition': ' (b. h., <a class=""refLink"" href=""/I_Chronicles.4.18"" data-ref=""I Chronicles 4:18"">I Chr. IV, 18</a>) pr. n. f. <i>Bithiah</i>, daughter of Pharaoh; in legend, name of Moses’ foster-mother. <a class=""refLink"" href=""/Vayikra_Rabbah.1.3"" data-ref=""Vayikra Rabbah 1:3"">Lev. R. s. 1</a>, a. e (as if <span dir=""rtl"">בַּת יָהּ</span> daughter of the Lord, pious). <a class=""refLink"" href=""/Sanhedrin.31b.17"" data-ref=""Sanhedrin 31b:17"">Snh. 31ᵇ</a> <span dir=""rtl"">לדזיו ליה כבר ב׳ שלם</span> salutation to him whose splendor is like that of the son of B. (Moses).'}]",,Jastrow Dictionary
Deborah,דְּבוֹרָה,pr. n. f.,"[{'definition': ' <a dir=""rtl"" class=""refLink"" href=""/Jastrow,_דִּבְּרָה.1"" data-ref=""Jastrow, דִּבְּרָה 1"">דְּבֹרָה</a>; <span dir=""rtl"">דבר</span> <i>to lead, join</i>) '}, {'definition': ' [<i>swarm</i>,] <i>bee</i>. <a class=""refLink"" href=""/Yalkut_Shimoni_on_Torah.795.2"" data-ref=""Yalkut Shimoni on Torah 795:2"">Yalk. Deut. 795</a> (play on <span dir=""rtl"">הדברים</span>, <a class=""refLink"" href=""/Deuteronomy.1.1"" data-ref=""Deuteronomy 1:1"">Deut. I, 1</a>) <span dir=""rtl"">מה הד׳ הזו בניה מתנהגין וכ׳</span> as the bee is followed by the young, so are the Israelites led by the righteous &c.; (<a class=""refLink"" href=""/Devarim_Rabbah.1.6"" data-ref=""Devarim Rabbah 1:6"">Deut. R. s. 1</a> <span dir=""rtl"">כדְּבוֹרִים היו וכ׳</span> like bees my children were guided &c.). Ib. <span dir=""rtl"">מה הד׳ הזו וכ׳</span> as the bee whose honey &c.; a. fr.—Pl. <span dir=""rtl"">דְּבוֹרִים</span>. <a class=""refLink"" href=""/Mishnah_Kelim.16.7"" data-ref=""Mishnah Kelim 16:7"">Kel. XVI, 7</a> <span dir=""rtl"">מדף של ד׳</span> the vessel used for smoking the bees out. <a class=""refLink"" href=""/Bekhorot.7b.8"" data-ref=""Bekhorot 7b:8"">Bekh. 7ᵇ</a> <span dir=""rtl"">דבש ד׳</span> bee-honey. Deut. R. l. c., v. supra.', 'number': '1)'}, {'definition': ' pr. n. f. <i>Deborah</i>, the heroine and prophetess. <a class=""refLink"" href=""/Megillah.14a.13"" data-ref=""Megillah 14a:13"">Meg. 14ᵃ</a>; a. fr.—שִׁירַת ד׳ <i>the song of Deborah</i> (<a class=""refLink"" href=""/Judges.5.12"" data-ref=""Judges 5:12"">Jud. V</a>). Y. Meg. III, 74ᵇ bot.; <a class=""refLink"" href=""/Tractate_Soferim.12.10"" data-ref=""Tractate Soferim 12:10"">Treat. Sof’rim XII, 10</a>; a. e.', 'number': '—2)'}]",,Jastrow Dictionary
Durmaskith (of Damascus),דּוּרְמַסְקִית,pr. n. f.,"[{'definition': '<i>Durmaskith (of Damascus)</i>. <a class=""refLink"" href=""/Sifrei_Devarim.1.21"" data-ref=""Sifrei Devarim 1:21"">Sifré Deut. 1</a> R. José ben D.; <a class=""refLink"" href=""/Chagigah.3b.6"" data-ref=""Chagigah 3b:6"">Ḥag. 3ᵇ</a>; <a class=""refLink"" href=""/Tosefta_Yadayim.2.16"" data-ref=""Tosefta Yadayim 2:16"">Tosef. Yad. II, 16</a> <span dir=""rtl"">דורמוס׳</span>; <a class=""refLink"" href=""/Tosefta_Sotah.3.9"" data-ref=""Tosefta Sotah 3:9"">Tosef. Sot. III, 9</a>; a. fr.—Mekh. Yithro, Baḥod. 1 Abba José b. D.—[Tanḥ. Noah 1 <a dir=""rtl"" class=""refLink"" href=""/Jastrow,_דוסמקא.1"" data-ref=""Jastrow, דוסמקא 1"">דוסמקא</a>, <a dir=""rtl"" class=""refLink"" href=""/Jastrow,_דוסמקא.1"" data-ref=""Jastrow, דוסמקא 1"">דוסקמא</a> (corr. acc.), Var. <a dir=""rtl"" class=""refLink"" href=""/Jastrow,_קַצְרַת.1"" data-ref=""Jastrow, קַצְרַת 1"">קצרתא</a>, v. Tanḥ. ed. Bub. ib.] [Pl. <a dir=""rtl"" class=""refLink"" href=""/Jastrow,_דּוּרְמַסְקִית.1"" data-ref=""Jastrow, דּוּרְמַסְקִית 1"">דּוּרְמַסְקִיּוֹת</a>, v. <a dir=""rtl"" class=""refLink"" href=""/Jastrow,_דַּרְמַסְקִינָא.1"" data-ref=""Jastrow, דַּרְמַסְקִינָא 1"">דַּרְמַסְקִינָא</a>.]'}]",,Jastrow Dictionary
Dinag (Dunag),דִּינָג,pr. n. f.,"[{'definition': '<i>Dinag (Dunag)</i>, daughter of R. Naḥman. <a class=""refLink"" href=""/Kiddushin.70a.16"" data-ref=""Kiddushin 70a:16"">Kidd. 70ᵃ</a> די׳ Ar. (ed. <a dir=""rtl"" class=""refLink"" href=""/Jastrow,_דְּוַול.1"" data-ref=""Jastrow, דְּוַול 1"">דו׳</a>).'}]",,Jastrow Dictionary
Dinah,דִּינָה,pr. n. f.,"[{'definition': ' (b. h.) <i>Dinah</i>, daughter of Jacob. <a class=""refLink"" href=""/Bava_Batra.15b"" data-ref=""Bava Batra 15b"">B. Bath. 15ᵇ</a>; a. fr.'}]",,Jastrow Dictionary
Dishtayhi,*דִּשְׁתַּיְיהִי,pr. n. f.,"[{'definition': '<i>Dishtayhi</i>. <a class=""refLink"" href=""/Pesachim.110a"" data-ref=""Pesachim 110a"">Pes. 110ᵃ</a> א""ל אם ד׳ מכַּשְׁפָנִיֹּות Ms. M. (Ms. O. <a dir=""rtl"" class=""refLink"" href=""/Jastrow,_דִּשְׁתָּאָה.1"" data-ref=""Jastrow, דִּשְׁתָּאָה 1"">דיש׳</a>, v. Rabb. D. S. a. l. note; ed. <span dir=""rtl"">רישׁתינהו דנשים כשפניות</span>) Mother D. of the sorceresses told me.'}]",,Jastrow Dictionary
Hagar,הָגָר,pr. n. f.,"[{'definition': ' (b. h.) pr. n. f. <i>Hagar</i>, hand-maid of Sarah. <a class=""refLink"" href=""/Bereishit_Rabbah.45.7"" data-ref=""Bereishit Rabbah 45:7"">Gen. R. s. 45</a>, beg.; a. fr.'}]",,Jastrow Dictionary
Hădassah,הֲדַסָּה,pr. n. f.,"[{'definition': ' f. (b. h.) <a class=""refLink"" href=""/Jastrow,_הֲדָס.1"" data-ref=""Jastrow, הֲדָס 1"">same</a>; also pr. n. f. <i>Hădassah</i>, name of Esther. <a class=""refLink"" href=""/Esther_Rabbah.6.5"" data-ref=""Esther Rabbah 6:5"">Esth. R. to II, 7</a>. <a class=""refLink"" href=""/Megillah.10b.23"" data-ref=""Megillah 10b:23"">Meg. 10ᵇ</a>; <a class=""refLink"" href=""/Megillah.13a.12"" data-ref=""Megillah 13a:12"">13ᵃ</a>; [Targ. II Esth. II, 7].'}]",,Jastrow Dictionary
